"","storm_number","storm_name","typea","datesb_utc","max_winds_kt","min_pressure_mb","accumulated_cyclone_energyc_x104_kt2","direct_deathsd","u_s_damagee_million","tropical_cyclone_report_status","year","basin","source"
"99",9,"Hilary","MH","17 Aug–27 Aug",105,957,15.2,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"100",10,"Irwin","TS","21 Aug–22 Aug",60,999,1,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"101",11,"Jova","MH","29 Aug–05 Sep",115,948,14.6,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"102",12,"Kenneth","MH","05 Sep–17 Sep",130,932,26.3,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"103",13,"Lidia","MH","08 Sep–14 Sep",130,930,14.3,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"104",14,"Unnamed","TD","21 Sep–26 Sep",30,NA,0,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"105",15,"Max","TS","30 Sep–04 Oct",40,1000,1.2,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"106",16,"Norma","TS","02 Oct–06 Oct",45,1000,1,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"107",17,"Unnamed","TD","11 Oct–14 Oct",30,NA,0,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"108",5,"Dora","MH^","14 Jul–20 Jul",115,945,0,NA,NA,NA,1993,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=cpac"
"109",6,"Eugene","MH^","15 Jul–25 Jul",110,948,0.4,NA,NA,NA,1993,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=cpac"
"110",1,"Keoni","MH","09 Aug–29 Aug",115,NA,19.7,NA,NA,NA,1993,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=cpac"
"111",7,"Fernanda","MH^","09 Aug–19 Aug",125,934,10.3,NA,NA,NA,1993,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=cpac"
"112",8,"Greg","MH^","15 Aug–28 Aug",115,948,0,NA,NA,NA,1993,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=cpac"
"113",1,"Alberto","TS","30 Jun–07 Jul",55,993,1.6,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
"114",2,"Unnamed","TD","20 Jul–21 Jul",30,NA,0,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
"115",3,"Beryl","TS","14 Aug–19 Aug",50,999,0.8,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
"116",4,"Chris","HU","16 Aug–23 Aug",70,979,7.5,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
"117",5,"Unnamed","TD","29 Aug–31 Aug",30,NA,0,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
"118",6,"Debby","TS","09 Sep–11 Sep",60,1006,1.4,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
"119",7,"Ernesto","TS","21 Sep–26 Sep",50,997,1.5,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
"120",8,"Unnamed","TD^","24 Sep–26 Sep",30,NA,0,NA,NA,NA,1994,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1994&basin=atl"
